Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BRCA	6412854a-f874-469e-9d1f-8bd3ae5bd41d	Primary Tumor	130	18
TCGA-BRCA	64f67506-f2df-4f0a-b7be-29b4949e986a	Blood Derived Normal	121	13
TCGA-BRCA	64f67506-f2df-4f0a-b7be-29b4949e986a	Primary Tumor	84	13
TCGA-BRCA	66072c06-f251-4f0b-b6ae-12b407c52cc6	Primary Tumor	486	105
TCGA-BRCA	67eef990-5ff4-45d1-843d-d22d7848f130	Blood Derived Normal	173	2
TCGA-BRCA	67eef990-5ff4-45d1-843d-d22d7848f130	Primary Tumor	780	101
TCGA-BRCA	68177e92-4784-45d9-af14-4ce0c00eae74	Blood Derived Normal	301	33
TCGA-BRCA	68177e92-4784-45d9-af14-4ce0c00eae74	Primary Tumor	329	36
TCGA-BRCA	69054195-9e93-49e5-b820-69b0091cc2d4	Blood Derived Normal	704	49
TCGA-BRCA	69054195-9e93-49e5-b820-69b0091cc2d4	Primary Tumor	525	40
TCGA-BRCA	6bc4c56d-aac5-49a2-9913-9538d06d898f	Blood Derived Normal	284	29
TCGA-BRCA	6bc4c56d-aac5-49a2-9913-9538d06d898f	Primary Tumor	433	46
TCGA-BRCA	6c0066e3-96df-4870-bcd3-98cda64082e9	Blood Derived Normal	72	8
TCGA-BRCA	6e6408d6-6c48-4dfc-9f1c-28b7386e87b4	Blood Derived Normal	243	24
TCGA-BRCA	6e6408d6-6c48-4dfc-9f1c-28b7386e87b4	Primary Tumor	330	38
TCGA-BRCA	6f959c92-b79f-4f84-9ee5-d07d3212d52d	Blood Derived Normal	356	14
TCGA-BRCA	6f959c92-b79f-4f84-9ee5-d07d3212d52d	Primary Tumor	733	81
TCGA-BRCA	7032ec9c-e96b-4642-a7b6-d0aee7a3add2	Blood Derived Normal	98	8
TCGA-BRCA	7032ec9c-e96b-4642-a7b6-d0aee7a3add2	Primary Tumor	218	37
TCGA-BRCA	70931617-b3df-4a12-8e3f-2b2307602f48	Blood Derived Normal	415	31
TCGA-BRCA	70931617-b3df-4a12-8e3f-2b2307602f48	Primary Tumor	680	85
TCGA-BRCA	719082cc-1ebe-4a51-a659-85a59db1d77d	Blood Derived Normal	486	25
TCGA-BRCA	719082cc-1ebe-4a51-a659-85a59db1d77d	Primary Tumor	640	46
TCGA-BRCA	72e486b8-a866-4916-b2e4-8b4bb5dcd92d	Blood Derived Normal	131	12
TCGA-BRCA	72e486b8-a866-4916-b2e4-8b4bb5dcd92d	Primary Tumor	453	77
TCGA-BRCA	733a2a0f-b37a-4b81-b49e-3c0f30d1eb37	Blood Derived Normal	72	7
TCGA-BRCA	733a2a0f-b37a-4b81-b49e-3c0f30d1eb37	Primary Tumor	85	10
TCGA-BRCA	7455d832-ad66-40df-85d7-3a7051c4498d	Blood Derived Normal	133	10
TCGA-BRCA	7455d832-ad66-40df-85d7-3a7051c4498d	Primary Tumor	419	59
TCGA-BRCA	75113445-d2d6-44a0-866c-c9175e6d214b	Blood Derived Normal	237	20
TCGA-BRCA	75113445-d2d6-44a0-866c-c9175e6d214b	Primary Tumor	372	37
TCGA-BRCA	7875018b-91dc-4ab1-83b0-ee3883e2816e	Blood Derived Normal	134	8
TCGA-BRCA	7875018b-91dc-4ab1-83b0-ee3883e2816e	Primary Tumor	162	11
TCGA-BRCA	7875018b-91dc-4ab1-83b0-ee3883e2816e	Solid Tissue Normal	471	63
TCGA-BRCA	78e1da41-127c-4e9c-aaaa-77a0d94c31d0	Blood Derived Normal	264	14
TCGA-BRCA	78e1da41-127c-4e9c-aaaa-77a0d94c31d0	Primary Tumor	421	33
TCGA-BRCA	7acf33e7-c386-45fd-8c9a-469600378687	Blood Derived Normal	971	148
